,SubjectID,context,speaker,meanACC,meanRT,Hits,FAlarms,miss,cr,n,pH,pFA,dprime,pair,pu,vvl,cloze
79,201,Initial,L2,0.607142857,986.5553571,4,0,11,13,28,0.266666667,0.0135,1.588592086,Rx,uvular,ccontrol,0.25
80,201,Initial,L2,0.8,925.0863333,4,0,6,20,30,0.4,0.0135,1.958170706,Rs,control,ccontrol,0.25
81,201,Final,L2,0.96969697,934.6218182,4,0,1,28,33,0.8,0.0135,3.053139043,As,control,ccontrol,0.25
82,201,Initial,L2,0.870967742,973.05,5,0,4,22,31,0.555555556,0.0135,2.351228108,Hq,control,ccontrol,0.25
83,201,Initial,L2,0.583333333,1001.725833,0,0,5,7,12,0.125,0.0135,1.061168429,xz,control,ccontrol,0.25
84,201,Initial,L2,0.678571429,962.3953571,3,1,8,16,28,0.272727273,0.058823529,0.960141125,qR,control,ccontrol,0.25
85,201,Initial,L2,0.9,916.613,3,1,2,24,30,0.6,0.04,2.004033174,qs,control,ccontrol,0.25
86,201,Initial,L2,0.714285714,960.2492857,3,1,7,17,28,0.3,0.055555556,1.068818305,qx,control,ccontrol,0.25
87,201,Final,L2,0.764705882,1059.052059,4,0,8,22,34,0.333333333,0.0135,1.78079051,Rz,control,ccontrol,0.25
88,201,Initial,L2,0.851851852,882.0796296,2,2,2,21,27,0.5,0.086956522,1.359737384,Ah,control,ccontrol,0.25
89,201,Initial,L2,0.965517241,891.1210345,4,0,1,24,29,0.8,0.0135,3.053139043,hs,control,ccontrol,0.25
90,201,Initial,L2,0.909090909,888.04,0,0,1,10,11,0.125,0.0135,1.061168429,hr,control,ccontrol,0.25
91,201,Initial,L2,0.733333333,993.4813333,3,1,7,19,30,0.3,0.05,1.120453114,Hx,control,voiceless,0.25
92,201,Initial,L2,0.827586207,925.1996552,3,0,5,21,29,0.375,0.0135,1.892878445,sx,control,ccontrol,0.25
93,201,Final,L2,0.885714286,998.9891429,1,3,1,30,35,0.5,0.090909091,1.335177736,Ah,control,ccontrol,0.25
94,201,Initial,L2,0.785714286,834.2564286,0,2,1,11,14,0.125,0.153846154,-0.130273148,Az,control,ccontrol,0.25
95,201,Initial,L2,0.703703704,960.3881481,2,2,6,17,27,0.25,0.105263158,0.57762977,hx,control,ccontrol,0.25
96,201,Initial,L2,0.5,970.6041667,0,0,6,6,12,0.125,0.0135,1.061168429,Rz,control,ccontrol,0.25
97,201,Initial,L2,0.857142857,1005.482857,0,0,2,12,14,0.125,0.0135,1.061168429,Hz,control,ccontrol,0.25
98,201,Medial,L2,0.774193548,952.6570968,3,1,6,21,31,0.333333333,0.045454545,1.25989433,Ah,control,ccontrol,0.25
99,201,Initial,L2,0.88,953.808,0,0,3,22,25,0.125,0.0135,1.061168429,hH,control,ccontrol,0.25
100,201,Initial,L2,0.909090909,888.04,0,0,1,10,11,0.125,0.0135,1.061168429,hz,control,ccontrol,0.25
101,201,Initial,L2,0.9375,950.764375,4,0,2,26,32,0.666666667,0.0135,2.642245108,Hs,control,ccontrol,0.25
102,201,Initial,L2,1,922.5714286,0,0,0,14,14,NA,0.0135,NA,sz,control,ccontrol,0.25
103,201,Initial,L2,0.714285714,929.065,3,1,7,17,28,0.3,0.055555556,1.068818305,AR,control,voiced,0.25
104,201,Medial,L2,0.766666667,1027.044333,3,1,6,20,30,0.333333333,0.047619048,1.237663895,AR,control,voiced,0.25
105,201,Final,L2,0.714285714,988.796,1,3,7,24,35,0.125,0.111111111,0.070290968,AR,control,voiced,0.25
106,201,Final,L2,0.9375,991.5459375,4,0,2,26,32,0.666666667,0.0135,2.642245108,sz,control,ccontrol,0.25
107,201,Initial,L2,0.857142857,1005.482857,0,0,2,12,14,0.125,0.0135,1.061168429,Hr,control,ccontrol,0.25
108,201,Medial,L2,0.903225806,991.8448387,3,1,2,25,31,0.6,0.038461538,2.022172142,AH,pharyngeal,ccontrol,0.25
109,201,Final,L2,0.848484848,978.9515152,1,3,2,27,33,0.333333333,0.1,0.850824266,AH,pharyngeal,ccontrol,0.25
110,201,Medial,L2,0.870967742,1005.34129,2,2,2,25,31,0.5,0.074074074,1.446103593,Ax,control,ccontrol,0.25
111,201,Medial,L2,1,884.6642857,0,0,0,14,14,NA,0.0135,NA,Hr,control,ccontrol,0.25
112,201,Initial,L2,0.966666667,904.9253333,4,0,1,25,30,0.8,0.0135,3.053139043,As,control,ccontrol,0.25
113,201,Medial,L2,0.903225806,1005.675484,4,0,3,24,31,0.571428571,0.0135,2.391530179,As,control,ccontrol,0.25
114,201,Final,L2,0.916666667,1006.881944,4,0,3,29,36,0.571428571,0.0135,2.391530179,qx,control,ccontrol,0.25
115,201,Final,L2,0.882352941,1063.189706,4,0,4,26,34,0.5,0.0135,2.211517809,xz,control,ccontrol,0.25
116,201,Medial,L2,0.714285714,837.06,0,0,4,10,14,0.125,0.0135,1.061168429,hr,control,ccontrol,0.25
117,201,Medial,L2,0.838709677,961.1651613,3,1,4,23,31,0.428571429,0.041666667,1.551652026,Rx,uvular,ccontrol,0.25
118,201,Final,L2,0.666666667,1059.5075,0,4,8,24,36,0.125,0.142857143,-0.082778856,Rx,uvular,ccontrol,0.25
119,201,Medial,L2,0.84375,977.7096875,3,1,4,24,32,0.428571429,0.04,1.570673701,sz,control,ccontrol,0.25
120,201,Initial,L2,0.9,940.9,4,0,3,23,30,0.571428571,0.0135,2.391530179,AH,pharyngeal,ccontrol,0.25
121,201,Initial,L2,0.88,880.7396,2,0,3,20,25,0.4,0.0135,1.958170706,hq,control,ccontrol,0.25
122,201,Initial,L2,0.75,943.6978571,3,1,6,18,28,0.333333333,0.052631579,1.189128959,Ax,control,ccontrol,0.25
123,201,Final,L2,0.911764706,979.9811765,3,1,2,28,34,0.6,0.034482759,2.071992696,sx,control,ccontrol,0.25
124,201,Final,L2,0.885714286,1022.414571,3,1,3,28,35,0.5,0.034482759,1.818645593,Ax,control,ccontrol,0.25
125,201,Medial,L2,0.75,859.3234375,0,4,4,24,32,0.125,0.142857143,-0.082778856,hx,control,ccontrol,0.25
126,201,Medial,L2,0.774193548,1018.878065,4,0,7,20,31,0.363636364,0.0135,1.862762114,Rz,control,ccontrol,0.25
127,201,Medial,L2,0.90625,977.1828125,4,0,3,25,32,0.571428571,0.0135,2.391530179,xz,control,ccontrol,0.25
