"","SubjectID","context","phoneme_pair","max"
"1911",217,"M","AH",4
"1912",217,"M","Aq",4
"1913",217,"M","AR",4
"1914",217,"M","As",4
"1915",217,"M","Ax",4
"1916",217,"M","Az",4
"1917",217,"M","hh",14
"1918",217,"M","hH",4
"1919",217,"M","HH",14
"1920",217,"M","hq",2
"1921",217,"M","Hq",6
"1922",217,"M","hR",4
"1923",217,"M","HR",4
"1924",217,"M","hs",4
"1925",217,"M","Hs",4
"1926",217,"M","hx",4
"1927",217,"M","Hx",4
"1928",217,"M","hz",2
"1929",217,"M","Hz",6
"1930",217,"M","qq",14
"1931",217,"M","qR",4
"1932",217,"M","qs",4
"1933",217,"M","qx",4
"1934",217,"M","qz",4
"1935",217,"M","RR",14
"1936",217,"M","Rs",4
"1937",217,"M","Rx",4
"1938",217,"M","Rz",4
"1939",217,"M","ss",14
"1940",217,"M","sx",4
"1941",217,"M","sz",4
"1942",217,"M","xx",14
"1943",217,"M","xz",4
"1944",217,"M","zz",14
"1945",218,"F","AA",16
"1946",218,"F","Ah",4
"1947",218,"F","AH",4
"1948",218,"F","Aq",4
"1949",218,"F","AR",4
"1950",218,"F","As",4
"1951",218,"F","Ax",4
"1952",218,"F","Az",4
"1953",218,"F","hh",16
"1954",218,"F","hH",4
"1955",218,"F","HH",14
"1956",218,"F","hq",4
"1957",218,"F","Hq",4
"1958",218,"F","hR",2
"1959",218,"F","HR",6
"1960",218,"F","hs",4
"1961",218,"F","Hs",4
"1962",218,"F","hx",4
"1963",218,"F","Hx",4
"1964",218,"F","hz",2
"1965",218,"F","Hz",6
"1966",218,"F","qq",16
"1967",218,"F","qR",4
"1968",218,"F","qs",4
"1969",218,"F","qx",4
"1970",218,"F","qz",4
"1971",218,"F","RR",16
"1972",218,"F","Rs",4
"1973",218,"F","Rx",4
"1974",218,"F","Rz",4
"1975",218,"F","ss",14
"1976",218,"F","sx",4
"1977",218,"F","sz",4
"1978",218,"F","xx",16
"1979",218,"F","xz",4
"1980",218,"F","zz",14
"1981",218,"I","AA",12
"1982",218,"I","Ah",4
"1983",218,"I","AH",4
"1984",218,"I","Aq",4
"1985",218,"I","AR",4
"1986",218,"I","As",4
"1987",218,"I","Ax",4
"1988",218,"I","Az",4
"1989",218,"I","hh",12
"1990",218,"I","hH",4
"1991",218,"I","HH",14
"1992",218,"I","hq",2
"1993",218,"I","Hq",6
"1994",218,"I","hR",4
"1995",218,"I","HR",4
"1996",218,"I","hs",4
"1997",218,"I","Hs",4
"1998",218,"I","hx",4
"1999",218,"I","Hx",4
"2000",218,"I","hz",2
"2001",218,"I","Hz",6
"2002",218,"I","qq",12
"2003",218,"I","qR",4
"2004",218,"I","qs",4
"2005",218,"I","qx",4
"2006",218,"I","qz",4
"2007",218,"I","RR",12
"2008",218,"I","Rs",4
"2009",218,"I","Rx",4
"2010",218,"I","Rz",4
"2011",218,"I","ss",14
"2012",218,"I","sx",4
"2013",218,"I","sz",4
"2014",218,"I","xx",12
"2015",218,"I","xz",4
"2016",218,"I","zz",14
"2017",218,"M","AA",14
"2018",218,"M","Ah",4
"2019",218,"M","AH",4
"2020",218,"M","Aq",4
"2021",218,"M","AR",4
"2022",218,"M","As",4
"2023",218,"M","Ax",4
"2024",218,"M","Az",4
"2025",218,"M","hh",14
"2026",218,"M","hH",4
"2027",218,"M","HH",14
"2028",218,"M","hq",2
"2029",218,"M","Hq",6
"2030",218,"M","hR",4
"2031",218,"M","HR",4
"2032",218,"M","hs",4
"2033",218,"M","Hs",4
"2034",218,"M","hx",4
"2035",218,"M","Hx",4
"2036",218,"M","hz",2
"2037",218,"M","Hz",6
"2038",218,"M","qq",14
"2039",218,"M","qR",4
"2040",218,"M","qs",4
"2041",218,"M","qx",4
"2042",218,"M","qz",4
"2043",218,"M","RR",14
"2044",218,"M","Rs",4
"2045",218,"M","Rx",4
"2046",218,"M","Rz",4
"2047",218,"M","ss",14
"2048",218,"M","sx",4
"2049",218,"M","sz",4
"2050",218,"M","xx",14
"2051",218,"M","xz",4
"2052",218,"M","zz",14
"2053",219,"F","AA",16
"2054",219,"F","Ah",4
"2055",219,"F","AH",4
"2056",219,"F","Aq",4
"2057",219,"F","AR",4
"2058",219,"F","As",4
"2059",219,"F","Ax",4
"2060",219,"F","Az",4
"2061",219,"F","hh",16
"2062",219,"F","hH",4
"2063",219,"F","HH",14
"2064",219,"F","hq",4
"2065",219,"F","Hq",4
"2066",219,"F","hR",2
"2067",219,"F","HR",6
"2068",219,"F","hs",4
"2069",219,"F","Hs",4
"2070",219,"F","hx",4
"2071",219,"F","Hx",4
"2072",219,"F","hz",2
